Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_SalvaProduto""))",Chrome 71.0.3578.98,,2019-01-17 13:15:30,2019-01-17 13:15:30,"0,186s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 13:15:30,2019-01-17 13:15:31,"1,004s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 13:15:31,2019-01-17 13:15:31,"0,140s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/ModalPagamento""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:15:31,2019-01-17 13:15:31,"0,078s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpPag_Dinheiro""))",Chrome 71.0.3578.98,,2019-01-17 13:15:31,2019-01-17 13:15:32,"0,120s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AddPag""))",Chrome 71.0.3578.98,,2019-01-17 13:15:32,2019-01-17 13:15:32,"0,174s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_SalvarPag""))",Chrome 71.0.3578.98,,2019-01-17 13:15:32,2019-01-17 13:15:32,"0,181s",PASSED
waitForAlert(1),Chrome 71.0.3578.98,,2019-01-17 13:15:32,2019-01-17 13:15:33,"1,017s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Fechar_Alert""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 13:15:33,2019-01-17 13:15:33,"0,140s",PASSED
"setText(findTestObject(""Page_Gemobile_TelaLogin/SetCampoLogin""), ""proprietário.open"")",Chrome 71.0.3578.98,,2019-01-17 13:15:33,2019-01-17 13:15:34,"0,834s",PASSED
"setText(findTestObject(""Page_Gemobile_TelaLogin/SetCampoSenha""), ""venus2018"")",Chrome 71.0.3578.98,,2019-01-17 13:15:34,2019-01-17 13:15:34,"0,297s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_SalvarAuten""))",Chrome 71.0.3578.98,,2019-01-17 13:15:34,2019-01-17 13:15:34,"0,172s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_SalvarPag""))",Chrome 71.0.3578.98,,2019-01-17 13:15:34,2019-01-17 13:15:35,"0,130s",PASSED
"verifyElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Alert_VendaInseridaComSucesso""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:15:35,2019-01-17 13:15:35,"0,090s",PASSED
